lon_a,lat_a,lon_b,lat_b,usage_count
-0.544191,39.01686,-0.51852,38.99042,141
-4.629795,37.096146,-4.056714,37.181763,140
-4.08237,37.59091,-3.7232,38.14232,140
-4.08237,37.59091,-3.791627,37.940243,140
-7.275459,42.475483,-5.715528,42.089278,140
-3.723177,38.142353,-3.722908,38.142612,139
-5.61715,42.42043,-5.43574,43.48126,139
-1.601074,42.01253,-1.031231,41.730312,139
-4.56123,37.01938,-3.960243,37.18563,139
-3.587198,39.990463,-3.487215,39.35399,139
-6.59619,42.54664,-5.715528,42.089278,139
-4.32245,37.6167,-3.7232,38.14232,138
-1.85905,37.24345,-1.339611,37.892778,138
-3.723177,38.142353,-3.3705,38.01328,138
-3.069667,42.65061,-2.996531,43.372726,138
-3.92301,37.4614,-3.637788,37.52801,137
-0.709192,39.39257,-0.709137,39.392593,137
-1.925834,37.18494,-1.360389,37.885556,137
-2.14949,37.38856,-1.339611,37.892778,137
-3.194363,42.54852,-2.67268,42.84998,136
-4.7786,41.132687,-3.286111,40.166778,136
-3.92301,37.4614,-3.7232,38.14232,136
-4.82411,41.5916,-4.52406,42.00955,136
-4.56733,41.838745,-4.518805,41.900192,136
-0.226643,39.03951,0.10383,38.7294,135
-5.79344,43.61517,-5.61715,42.42043,135
-1.85905,37.24345,-1.313417,37.912167,135
-3.928777,37.18013,-3.7232,38.14232,135
-3.775363,38.17689,-3.0848,38.1156,135
-1.675974,42.20028,-1.634673,42.776344,135
-0.3808,39.27468,-0.26623,39.07195,135
-4.63805,37.58627,-3.7232,38.14232,135
0.924508,40.98877,1.662544,41.321007,135
-4.63805,37.58627,-3.775363,38.17689,134
-5.8508,43.43963,-5.61715,42.42043,133
-0.831585,41.76181,-0.4087,42.13615,133
-5.90841,39.15127,-5.832583,39.565056,132
-3.702258,42.304417,-3.333109,42.526173,132
-3.333109,42.526173,-2.4175,43.1151,132
-5.61715,42.42043,-5.57427,42.53897,132
-4.49976,36.62035,-3.960243,37.18563,131
-6.423251,37.348347,-6.296556,38.23025,131
-4.75639,36.65947,-4.056714,37.181763,131
-4.18814,40.737324,-2.994463,40.774384,130
-1.925834,37.18494,-1.313417,37.912167,130
-2.25491,39.538704,-0.41131,39.323788,130
-4.99123,36.48839,-4.391351,37.022522,130
-2.535529,43.01694,-2.16992,43.28444,130
-0.226643,39.03951,-0.11935,38.91971,129
-5.724889,42.540639,-3.740319,42.3005,129
-1.433511,39.52892,-0.755248,39.44505,129
-0.899639,38.141528,-0.181915,38.5383,128
-1.676567,42.78712,-1.638229,42.75418,128
-4.15129,37.16887,-4.056714,37.181763,128
-3.45757,43.44386,-2.913518,42.74313,127
-3.069667,42.65061,-1.90234,43.31195,127
-7.86407,42.33669,-7.823,42.286,127
-3.566889,39.976889,-3.399121,39.180363,126
-0.771114,38.475266,-0.5658,38.19165,126
-2.772644,42.82372,-2.092501,43.293633,126
-0.93025,39.450333,-0.705587,39.392494,125
2.238149,41.99513,2.466856,42.153248,124
-5.26667,38.3,-4.900858,38.126163,124
-2.25491,39.538704,-1.231611,38.103833,124
-1.600613,42.012207,-1.319388,41.83281,123
-3.194363,42.54852,-2.16992,43.28444,123
2.771696,41.90578,3.12703,42.04254,123
-2.20595,36.96655,-1.339611,37.892778,123
2.409245,41.64421,2.771696,41.90578,123
-4.900421,38.129105,-4.867708,38.09519,123
-5.25026,36.37645,-4.327099,37.066895,122
-4.39623,37.092716,-3.960243,37.18563,122
1.165329,41.261284,1.166581,41.374886,122
-3.009119,40.76181,-2.46883,41.76401,122
-3.70457,41.573154,-3.292031,40.172264,122
1.662544,41.321007,2.2081,41.45152,121
-3.637788,37.52801,-3.297419,37.3209,121
-5.25026,36.37645,-4.391351,37.022522,121
-3.286111,40.166778,-2.280002,39.59617,120
-4.900858,38.126163,-4.867708,38.09519,120
-3.028232,37.39342,-0.899639,38.141528,120
-0.71667,39.46667,-0.709192,39.39257,120
2.409245,41.64421,2.996561,42.25103,120
-1.320079,41.834606,-0.754753,41.64069,120
0.91401,41.630672,1.579205,41.745003,119
1.873758,41.861305,1.898091,41.789597,119
-5.801292,39.818695,-4.371031,40.05906,119
-0.93025,39.450333,-0.26667,39.68333,118
-2.370979,39.334588,-1.339611,37.892778,117
1.662544,41.321007,3.03333,41.78333,117
-2.994463,40.774384,-2.46883,41.76401,117
-1.433389,39.528806,-0.37966,39.47391,117
1.274208,41.168575,2.254843,41.558784,117
-5.54064,39.89158,-4.703472,39.988556,116
2.773299,41.90677,3.12703,42.04254,116
-4.551042,41.85898,-4.518805,41.900192,116
-7.20433,37.25482,-6.423251,37.348347,116
-2.156278,39.484889,-0.26623,39.07195,116
