object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
2143,18,A-44,159.646,163.5,28884,2391,26493,413,24471,8,1601,0,994,1293,24,3,77,108.8,111.6,86.3,51.3917739925218,48.6082260074782,2022,3859.6966100732193
2144,24,A-6,364.4,371.3,12615,2324,10291,54,9568,62,607,0,375,1755,58,23,113,,,,52.8814902893381,47.1185097106619,2022,6940.82720927975
2145,17,N-154,0,1.48,8620,438,8182,445,6947,101,669,20,212,172,10,2,42,59.8,60,55.6,,,2022,1463.5464813106285
2146,21,N-446,0,1.87,4867,191,4676,132,4125,23,396,0,147,13,0,0,31,,,,,,2022,2160.1164463188447
2147,13,N-420,230.61,231.24,4325,570,3755,75,3145,9,442,84,381,127,0,0,62,,,,,,2022,1382.0659616559574
2148,17,N-260,176.6,179.5,10321,406,9915,325,8401,100,1062,27,243,107,6,6,44,79.8,80,75.6,,,2022,2886.5709472243093
2149,3,N-332,203.5,204.64,14227,871,13356,283,11315,147,1609,2,535,301,8,1,26,87.8,88.1,83.4,,,2022,1133.5087372414037
2150,6,A-5,352.1,365.3,15099,2523,12576,67,11825,66,618,0,696,1598,94,9,126,113.4,117.3,98.6,49.698655540102,50.301344459898,2022,13475.229446083951
2151,19,N-204,16.4,22.7,565,52,513,56,416,1,37,3,28,15,2,1,6,61.9,62.4,56.5,,,2022,6270.476880087323
2152,3,N-340,688,688.4,9879,1483,8396,217,6790,63,1326,0,942,470,34,0,37,67.1,67.5,64.6,,,2022,439.91698259727775
2153,15,N-655,0,4.7,1318,46,1272,24,1093,5,150,0,31,3,0,0,12,,,,,,2022,4795.019971745803
2154,10,N-110,403.1,404.615,8094,151,7943,164,7415,35,329,0,99,40,1,0,11,43.5,43.4,43.1,,,2022,1490.6153425033797
2155,16,A-3,140.8,153.7,27272,4523,22749,73,21478,78,1120,0,582,3524,246,18,153,114.9,122.5,91.7,47.0519213845703,52.9480786154297,2022,12467.996981538683
2156,24,N-6,401.4,402.4,1935,92,1843,29,1668,20,126,0,49,21,0,1,21,68.1,68.4,61.2,,,2022,1010.918244289935
2157,18,N-323A,88.5,99.8,1323,151,1172,98,1021,3,50,0,37,71,3,0,40,,,,,,2022,10634.572874263818
2158,8,AP-7N,161.6,170.8,100894,19793,81101,227,73688,495,6691,0,8624,10239,735,39,156,102.6,106.1,88.3,49.9811683549071,50.0188316450929,2022,8851.88130342251
2159,16,AP-36,129.1,134.3,9457,1533,7924,38,7088,34,764,0,633,794,22,4,80,,,,49.9947129110712,50.0052870889288,2022,5222.253106210181
2160,16,A-3,70.7,78.9,32004,4628,27376,372,25805,15,1184,0,836,3349,162,7,274,111.6,115.4,91.7,50.2562179727534,49.7437820272466,2022,7726.383810467561
2161,14,N-432,312.3,313.6,4524,476,4048,119,3706,7,195,21,370,43,0,2,61,,,,,,2022,1269.7205199134476
2162,18,N-340,314.1,318.585,13106,570,12536,1174,10199,19,1144,0,389,50,0,0,131,53.7,53.7,53.6,,,2022,4488.130721850652
2163,22,N-330,564,567.853,364,73,291,17,257,2,12,3,30,39,0,0,4,,,,,,2022,3991.9545080964785
2164,10,A-66,507.6,522.5,15116,2836,12280,140,11340,84,716,0,683,1952,81,12,108,116.3,121.5,94.3,49.0804445620535,50.9195554379465,2022,12668.099771351
2165,24,N-601,274.98,276.1,2477,435,2042,42,1850,16,134,0,146,240,18,0,31,,,,,,2022,1147.2982006770212
2166,10,N-521,4.1,10.3,72,2,70,3,63,1,3,0,1,1,0,0,0,,,,,,2022,6303.96561402819
2167,16,N-400A,116.606,119.947,87,14,73,3,65,1,4,0,0,14,0,0,0,,,,,,2022,3589.197558932264
2168,3,AP-7N,651.7,657.6,41360,3514,37846,182,33543,275,3846,0,1587,1737,59,0,131,115.8,117.6,97,49.3278529980658,50.6721470019342,2022,5898.080896147841
2169,4,N-347AL,0,4.17,5391,457,4934,0,4929,0,5,0,454,3,0,0,0,66.7,67.5,58.6,,,2022,3949.7422506287367
2170,2,A-31,34.3,37.7,28073,4562,23511,232,21993,109,1177,0,873,3381,174,12,122,111.8,117,90.9,71.0647241121362,28.9352758878638,2022,3073.372995717631
2171,16,N-420,354.5,359.8,690,79,611,25,527,12,46,1,24,49,2,0,4,,,,,,2022,5280.915565944487
2172,14,N-432,264.7,266,21085,1303,19782,810,17285,68,1617,2,371,778,84,7,63,87.9,88.8,74.2,50.4007588332938,49.5992411667062,2022,1898.249176401225
2173,15,N-550,23.4,26.7,3703,378,3325,65,2704,26,530,0,208,133,7,1,29,,,,,,2022,3373.0729506338307
2174,14,A-4,349.949,357.3,18565,4996,13569,106,12121,23,1319,0,1013,3633,195,8,147,109.5,116.4,90.8,50.9183948289793,49.0816051710207,2022,6576.966882349901
2175,11,A-4,627.87,628.5,5863,916,4947,192,4148,84,523,0,164,701,28,6,17,,,,,,2022,555.5449104588586
2176,18,N-323A,84,86.6,1323,151,1172,98,1021,3,50,0,37,71,3,0,40,,,,,,2022,2670.3819178961135
2177,5,N-403,149.8,150.2,4418,363,4055,76,3494,22,463,0,156,164,21,2,20,,,,,,2022,399.89722984061854
2178,24,LE-30,8.8,9.8,11837,916,10921,186,9889,59,787,0,423,389,39,0,65,111.3,113.3,94,50.8152403480612,49.1847596519388,2022,958.6785757724441
2179,21,N-431,121.6,127.4,5109,200,4909,135,4230,137,406,1,115,61,0,0,24,,,,,,2022,6010.634474432627
2180,9,N-1,280.1,286.6,2498,700,1798,16,1496,50,229,7,84,514,58,21,23,,,,,,2022,6434.471800408647
2181,2,N-322,289.6,298.5,2185,270,1915,129,1549,27,205,5,98,140,12,2,18,71.4,72.2,65.9,,,2022,8756.47027236608
2182,24,N-6,375.2,375.4,10928,480,10448,338,9295,111,704,0,254,110,0,6,110,,,,,,2022,202.6566313249774
2183,22,N-240R,292.27,292.638,3784,225,3559,30,3301,41,187,0,70,141,7,0,7,120.2,121.7,98,50.7135306553911,49.2864693446089,2022,675.3844647351057
2184,24,N-601,309,310.5,4456,244,4212,80,3603,72,456,1,124,92,8,0,20,72,72.4,65.6,,,2022,1536.5920174615396
2185,11,N-340,36.28,36.7,13586,694,12892,826,11158,136,755,17,373,200,6,5,110,56.7,56.7,55.3,,,2022,417.93118272053323
2186,19,N-211,2.4,4.2,1782,343,1439,79,1238,4,118,0,36,280,2,9,16,,,,,,2022,1749.8723991756312
2187,6,N-502,243.1,243.5,1806,247,1559,22,1407,23,107,0,120,67,5,2,53,,,,,,2022,188.52068120123093
2188,15,A-6,565.2,567,23363,3017,20346,106,17233,73,2934,0,777,2065,91,3,81,99.4,100.9,90.4,48.3713564182682,51.6286435817318,2022,1811.58546920167
2189,27,A-8,575.4,577.8,11829,1672,10157,217,9166,54,720,0,364,1207,40,18,43,111.6,115,91.8,54.2903034914194,45.7096965085806,2022,2390.9736696285804
