lat,lon,name,is_city,is_feasible_location,is_existing_charger,n_chargers,mean_power_kw,x_built,c_built,p_built_kw,wq_minutes,lambda_k,gamma,fixed_cost
41.76401,-2.46883,Soria,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.37891,-2.98313,Sopela,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.35877,1.46144,La Seu d'Urgell,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.94808,-4.11839,Segovia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.78148,-7.41431,Sarria,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.44386,-3.45757,Santoña,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.74549,1.80476,Sant Joan de Vilatorrada,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.46589,-3.80493,Santander,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.95065,-5.62723,Santa Marta de Tormes,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.03306,-8.80925,Santa Comba,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.45152,2.2081,Santa Coloma de Gramenet,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.42555,1.78519,Sant Sadurní d'Anoia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.78333,3.03333,Sant Feliu de Guíxols,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.56667,2.48333,Sant Andreu de Llavaneres,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.67882,-3.61639,San Agustín del Guadalix,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.29568,-5.68416,Sama,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.97489,2.79281,Salt,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.35619,-8.25796,Sada,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.51924,-0.36607,Sabiñánigo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.26199,3.17689,Roses,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.31195,-1.90234,Errenteria,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.99959,-4.13801,Reinosa,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.45266,-7.85178,As Pontes de García Rodríguez,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.431,-8.64435,Pontevedra,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.54664,-6.59619,Ponferrada,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.03116,-6.08845,Plasencia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.00955,-4.52406,Palencia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.33669,-7.86407,Ourense,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.07654,-8.409,Ordes,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.18096,2.49012,Olot,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.67816,-3.9707,Moralzarzal,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.91084,0.19406,Monzón,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.52165,-7.51422,Monforte de Lemos,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.6865,-2.94695,Miranda de Ebro,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.31239,-4.91413,Medina del Campo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.55274,-3.32894,Meco,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.00992,-7.55602,Lugo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.61517,-5.79344,Luanco,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.46615,-2.45115,Logroño,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.14322,-2.96204,Laudio / Llodio,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.41982,-4.75485,Llanes,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.43963,-5.8508,Llanera,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.61674,0.62218,Lleida,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.25375,-8.58535,Laracha,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.66085,-8.11285,Lalín,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.68333,2.28333,la Garriga,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.30026,-5.89772,La Bañeza,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.13615,-0.4087,Huesca,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.31667,-2.68333,Gernika-Lumo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.0635,-7.72459,Xinzo de Limia,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.35664,-3.67321,Gamonal,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.52294,0.34894,Fraga,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.67182,-2.03226,Estella-Lizarra,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.41642,-6.99005,O Barco de Valdeorras,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.12632,-1.13716,Ejea de los Caballeros,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.06667,-2.13333,Cuenca,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.6,-6.53333,Ciudad Rodrigo,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.43163,-8.07899,O Carballiño,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
43.18333,-6.55,Cangas del Narcea,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.35353,-1.64318,Calatayud,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.30506,-1.96521,Calahorra,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.10429,1.84628,Berga,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.00249,-5.67826,Benavente,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.38641,-5.76341,Béjar,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.79117,0.81094,Balaguer,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
40.65724,-4.69951,Ávila,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.45879,-6.05601,Astorga,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.67041,-3.6892,Aranda de Duero,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
41.05,-0.13333,Alcañiz,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
38.68269,-7.10046,Olivenza,1,0,0,0,0.0,0,0,0,0.0,0.0,0.8,0.0
42.892,-1.777806,SARASATE,0,1,0,0,0.0,0,0,0,0.0,1.153286,0.8,0.0
42.055861,-1.861722,REPSOL,0,1,0,0,0.0,0,0,0,0.0,0.69304,0.8,0.0
42.590333,-1.363972,AVIA,0,1,0,0,0.0,0,0,0,0.0,0.198299,0.8,0.0
42.024778,-1.580333,PLENERGY,0,1,0,0,0.0,0,0,0,0.0,5.431768,0.8,0.0
42.774333,-1.633278,GASOLINERA NOÁIN,0,1,0,0,0.0,0,0,0,0.0,0.134632,0.8,0.0
42.818278,-1.60325,REPSOL,0,1,0,0,0.0,0,0,0,0.0,0.053689,0.8,0.0
42.837667,-0.939306,PETRONOR,0,1,0,0,0.0,0,0,0,0.0,0.614489,0.8,0.0
42.731944,-1.618028,MOEVE,0,1,0,0,0.0,0,0,0,0.0,0.43093,0.8,0.0
42.724889,-1.615528,MOEVE,0,1,0,0,0.0,0,0,0,0.0,0.455421,0.8,0.0
42.200333,-1.676278,REPSOL,0,1,0,0,0.0,0,0,0,0.0,3.080878,0.8,0.0
42.200361,-1.674889,REPSOL,0,1,0,0,0.0,0,0,0,0.0,3.3032,0.8,0.0
42.012583,-1.600861,REPSOL,0,1,0,0,0.0,0,0,0,0.0,4.448688,0.8,0.0
40.907139,-3.876222,CEPSA,0,1,0,0,0.0,0,0,0,0.0,0.440814,0.8,0.0
38.495972,-5.136278,OLIVARERA NTRA.SRA.DEL CARMEN,0,1,0,0,0.0,0,0,0,0.0,0.177808,0.8,0.0
39.5105,-3.241944,REPSOL,0,1,0,0,0.0,0,0,0,0.0,0.487142,0.8,0.0
41.863222,-5.716722,TEO,0,1,0,0,0.0,0,0,0,0.0,2.572576,0.8,0.0
41.207806,-1.394028,COOP. LANGA DEL CASTILLO,0,1,0,0,0.0,0,0,0,0.0,0.055598,0.8,0.0
42.140583,-5.598556,TEO,0,1,0,0,0.0,0,0,0,0.0,1.273036,0.8,0.0
39.768389,-2.268028,PASACONSOL S. COOP. DE C-LM,0,1,0,0,0.0,0,0,0,0.0,0.26118,0.8,0.0
43.535611,-6.705833,E.S.LA COLORADA,0,1,0,0,0.0,0,0,0,0.0,1.447885,0.8,0.0
42.251222,-5.566194,SUTECAL,0,1,0,0,0.0,0,0,0,0.0,0.825058,0.8,0.0
42.218889,-5.801917,SUTECAL,0,1,0,0,0.0,0,0,0,0.0,0.823189,0.8,0.0
43.323611,-1.879944,MERKAOIL,0,1,0,0,0.0,0,0,0,0.0,0.573299,0.8,0.0
41.191778,-1.309528,COOP. MAINAR,0,1,0,0,0.0,0,0,0,0.0,0.168575,0.8,0.0
37.590278,-5.747333,COOP.SAN LUIS,0,1,0,0,0.0,0,0,0,0.0,4.066066,0.8,0.0
39.030361,-3.821833,"MONTES NORTE ENERGETICOS, S.L.",0,1,0,0,0.0,0,0,0,0.0,11.518309,0.8,0.0
40.999,-1.512083,COOP GALLOCANTA,0,1,0,0,0.0,0,0,0,0.0,0.427372,0.8,0.0
