gamma,fixed_cost,tag,results_csv,cuts_json,n_stations,n_chargers,avg_chargers_per_station,total_kw,total_wq_min,total_w_min,total_open_cost,objective_ub,objective_lb,gap_pct,n_cuts,power_dist,charger_dist
0.7,250.0,sweep2d_g0_7_f250,congestion/outputs/results_congestion_sweep2d_g0_7_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_7_f250.json,15,23,1.5333333333333334,4500,438.7175,703.4375,3750.0,17730336.451885268,17714461.44838506,0.08953582772266157,310107,"{""50"": 2, ""100"": 1, ""150"": 2, ""200"": 4, ""250"": 4, ""350"": 2}","{""1"": 10, ""2"": 2, ""3"": 3}"
0.75,250.0,sweep2d_g0_75_f250,congestion/outputs/results_congestion_sweep2d_g0_75_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_75_f250.json,15,23,1.5333333333333334,4500,438.7175,703.4375,3750.0,17730561.451885268,17714686.44838506,0.08953469151717296,310107,"{""50"": 2, ""100"": 1, ""150"": 2, ""200"": 4, ""250"": 4, ""350"": 2}","{""1"": 10, ""2"": 2, ""3"": 3}"
0.8,250.0,sweep2d_g0_8_f250,congestion/outputs/results_congestion_sweep2d_g0_8_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_8_f250.json,15,22,1.4666666666666666,4350,554.1685000000001,817.2085,3750.0,17730780.22289927,17714905.21939906,0.0895335867944814,310107,"{""50"": 2, ""100"": 1, ""150"": 1, ""200"": 6, ""250"": 3, ""350"": 2}","{""1"": 10, ""2"": 3, ""3"": 2}"
0.85,250.0,sweep2d_g0_85_f250,congestion/outputs/results_congestion_sweep2d_g0_85_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_85_f250.json,15,22,1.4666666666666666,4350,554.1685000000001,817.2085,3750.0,17730997.72289927,17715122.71939906,0.08953248851702221,310107,"{""50"": 2, ""100"": 1, ""150"": 1, ""200"": 6, ""250"": 3, ""350"": 2}","{""1"": 10, ""2"": 3, ""3"": 2}"
0.9,250.0,sweep2d_g0_9_f250,congestion/outputs/results_congestion_sweep2d_g0_9_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_9_f250.json,15,22,1.4666666666666666,4300,572.5747000000001,860.8147,3750.0,17731213.829136267,17715338.825636063,0.08953139730410575,310107,"{""50"": 3, ""150"": 1, ""200"": 6, ""250"": 3, ""350"": 2}","{""1"": 10, ""2"": 3, ""3"": 2}"
0.95,250.0,sweep2d_g0_95_f250,congestion/outputs/results_congestion_sweep2d_g0_95_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g0_95_f250.json,15,22,1.4666666666666666,4300,572.5747000000001,860.8147,3750.0,17731428.829136267,17715553.825636063,0.0895303117034694,310107,"{""50"": 3, ""150"": 1, ""200"": 6, ""250"": 3, ""350"": 2}","{""1"": 10, ""2"": 3, ""3"": 2}"
1.0,250.0,sweep2d_g1_f250,congestion/outputs/results_congestion_sweep2d_g1_f250.csv,congestion/outputs/congestion_cuts_sweep2d_g1_f250.json,15,22,1.4666666666666666,4300,572.5747000000001,860.8147,3750.0,17731643.829136267,17715768.825636063,0.08952922612915931,310107,"{""50"": 3, ""150"": 1, ""200"": 6, ""250"": 3, ""350"": 2}","{""1"": 10, ""2"": 3, ""3"": 2}"
0.05,500.0,sweep2d_g0_05_f500,congestion/outputs/results_congestion_sweep2d_g0_05_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_05_f500.json,18,58,3.2222222222222223,18300,101.9498,254.2298,9000.0,17720669.302610043,17715149.411193565,0.0311494522143466,242022,"{""200"": 1, ""250"": 6, ""350"": 11}","{""1"": 4, ""2"": 8, ""3"": 1, ""4"": 1, ""6"": 1, ""7"": 1, ""8"": 1, ""10"": 1}"
0.1,500.0,sweep2d_g0_1_f500,congestion/outputs/results_congestion_sweep2d_g0_1_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_1_f500.json,16,35,2.1875,8450,138.95340000000002,313.9134,8000.0,17727676.596388217,17715614.924488064,0.06803865038135098,232469,"{""150"": 3, ""200"": 2, ""250"": 7, ""350"": 4}","{""1"": 6, ""2"": 5, ""3"": 3, ""4"": 1, ""6"": 1}"
0.15,500.0,sweep2d_g0_15_f500,congestion/outputs/results_congestion_sweep2d_g0_15_f500.csv,congestion/outputs/congestion_cuts_sweep2d_g0_15_f500.json,16,32,2.0,8150,181.3115,352.0715,8000.0,17728092.25459622,17716030.58269606,0.06803705512661552,232469,"{""150"": 2, ""200"": 3, ""250"": 7, ""350"": 4}","{""1"": 6, ""2"": 6, ""3"": 2, ""4"": 2}"
