lat,lon,name,aadt_assigned,impute_tier,edge_dist_m,highway_class,through_gap_km,stop_rate,usage_count,lambda_k
42.81125,-2.901944,E.S. TOCALU ,10403.832732162296,3,893.3268877063956,motorway_link,22.0762,0.08380116353831661,0,5.667046373385956
43.411583,-2.814667,AVIA,1611.752249925229,3,1159.7986616412074,secondary,4.686,0.06236524430046017,0,0.6533625983196212
43.209889,-3.124889,EROSKI,3757.425784652746,3,243.45513707759284,primary_link,0.0,0.057878955124056955,0,1.4135932094172903
43.171889,-2.618111,EROSKI,7049.009196230493,3,60.81844555236979,trunk_link,0.1346,0.05800124150590011,0,2.657533350991192
43.166722,-2.58525,MOEVE,3475.22827509054,3,57.28601497351729,trunk,0.5632,0.05839315065685856,0,1.319041933523188
43.212361,-3.126639,MOEVE,3757.425784652746,3,546.0228779735738,primary_link,0.0,0.057878955124056955,0,1.4135932094172903
43.145611,-2.644972,URKIOIL,3175.5623366681625,3,183.50456940847297,primary,9.5568,0.06756138536900025,0,1.3945450401409845
43.193861,-2.519028,AVIA,1362.161233312488,3,382.24380570252157,secondary,25.0702,0.08838317329542761,0,0.7825488602111118
43.292806,-3.01775,BP VALLE DEL TRAPAGA,12581.695355686934,3,339.28954821628406,motorway,3.4964,0.06118065437579333,8,5.003416307615741
43.120944,-2.912639,BP BENGOECHEA,1611.752249925229,3,39.91929122197031,secondary,17.674,0.07757748940858142,0,0.8127320051359064
43.307861,-2.943556,PETRONOR,3757.425784652746,3,167.5689948345176,primary,12.3544,0.07081238602241013,0,1.7294698532370192
43.412306,-2.702944,REPSOL,1611.752249925229,3,174.66784038632582,secondary,2.031,0.059764752162590695,0,0.6261188294678152
43.366194,-2.930028,PETRONOR,1611.752249925229,3,1040.3962717122215,secondary,7.8856,0.0657140622944481,0,0.688446120406222
43.175167,-2.641389,REPSOL,7124.0152448851895,3,30.45965560515701,trunk_link,1.6056,0.05936249274578459,0,2.7488454714198136
43.318583,-2.876444,PETRONOR,12581.695355686934,3,31.124116248155058,motorway_link,0.021,0.05789800918017224,0,4.734958235837001
43.259611,-2.523694,PETRONOR,3757.425784652746,3,409.6681859622913,primary,4.4674,0.062145162055425765,0,1.5177879229401217
43.18975,-2.894444,PETRONOR,12581.695355686934,3,152.24348313445185,motorway_link,0.0138,0.057891475328880046,123,4.734423890815026
43.190194,-2.897389,PETRONOR,12581.695355686934,3,109.33327726657593,motorway_link,0.0312,0.05790726731338501,60,4.735715375412696
43.390333,-2.943917,REPSOL,1611.752249925229,3,599.9219891263785,secondary,3.3472,0.061034326972153094,0,0.639419389830259
43.130583,-2.548889,MOEVE,10403.832732162296,3,626.7100451852241,motorway,16.7226,0.07630883813418043,0,5.160378521568797
43.130278,-2.564722,GALP ,10403.832732162296,3,94.77750759018967,motorway_link,14.3968,0.07331655523857832,0,4.958025651803291
43.238139,-3.355694,PETRONOR,1251.2878335929045,3,2155.2102742285765,primary,28.523,0.09404107757549715,0,0.7648709654832097
43.321861,-3.068056,REPSOL,12581.695355686934,3,528.2574794800523,motorway_link,0.552,0.05838286048081612,5,4.774609869660815
43.250806,-2.888444,REPSOL,4112.0,3,77.95838238792766,trunk,1.2992,0.05907516881329283,0,1.578961112041691
43.250667,-2.889028,REPSOL,4112.0,3,82.27155352622962,trunk,0.0742,0.057946320474824356,0,1.5487892536511056
43.267,-3.152944,REPSOL,1611.752249925229,3,210.65744005662157,secondary,16.2738,0.07571947961057647,0,0.7932667705658419
43.204333,-3.047306,PETRONOR,1611.752249925229,3,279.27906650970965,secondary,0.1446,0.05801034172037392,0,0.6077389421138364
43.280111,-2.495722,PETRONOR,3757.425784652746,3,616.8909981093423,primary,2.6796,0.06038562433288479,0,1.4748142622897815
43.29725,-3.0135,PETRONOR,12581.695355686934,3,488.59023807653017,motorway,4.592,0.062270473350818714,60,5.092542814803748
43.3285,-3.068806,PETRONOR,12581.695355686934,3,130.877216758467,motorway_link,0.0822,0.057953590421644136,0,4.739503726446988
43.327111,-3.067722,PETRONOR,46447.0,2,37.51034424050756,motorway,0.0038,0.05788240232203008,122,17.475015614233655
43.163778,-2.777556,AVIA,4112.0,3,581.2431629691633,trunk,10.0548,0.06812536486285742,0,1.8208547520544534
42.849722,-8.582556,GALP,25074.0,1,713.1019182204939,trunk,14.1058,0.0729528233470921,0,11.88992410193242
42.167972,-8.625944,FEGOBLAN SL-VALCARCE,8289.0,2,131.0054467632341,trunk,0.119,0.05798704932988248,0,3.124255237320074
