lat,lon,c,p_kw,wq_minutes
42.8635,-2.320361,6,150,0.000266
42.8635,-2.320361,7,150,2.2e-05
43.186278,-2.671,2,150,0.287678
43.186278,-2.671,3,150,0.015077
43.186278,-2.671,4,150,0.0007
43.186278,-2.671,5,150,2.8e-05
43.186278,-2.671,6,150,1e-06
43.186278,-2.671,7,150,0.0
42.876861,-2.616361,2,150,11.172072
42.876861,-2.616361,3,150,1.544347
42.876861,-2.616361,4,150,0.268558
42.876861,-2.616361,5,150,0.045682
42.876861,-2.616361,6,150,0.00719
42.876861,-2.616361,7,150,0.001033
43.041944,-2.188333,2,150,0.093668
43.041944,-2.188333,3,150,0.002941
43.041944,-2.188333,4,150,8e-05
43.041944,-2.188333,5,150,2e-06
43.041944,-2.188333,6,150,0.0
43.041944,-2.188333,7,150,0.0
42.755583,-3.04575,2,150,0.123284
42.755583,-3.04575,3,150,0.004401
42.755583,-3.04575,4,150,0.000137
42.755583,-3.04575,5,150,4e-06
42.755583,-3.04575,6,150,0.0
42.755583,-3.04575,7,150,0.0
43.013833,-2.5345,2,150,1.128183
43.013833,-2.5345,3,150,0.102829
43.013833,-2.5345,4,150,0.008777
43.013833,-2.5345,5,150,0.000666
43.013833,-2.5345,6,150,4.5e-05
43.013833,-2.5345,7,150,3e-06
42.704639,-2.917639,2,150,45.0
42.704639,-2.917639,3,150,45.0
42.704639,-2.917639,4,150,8.900111
42.704639,-2.917639,5,150,2.050337
42.704639,-2.917639,6,150,0.57487
42.704639,-2.917639,7,150,0.164372
43.276889,-2.022194,2,150,0.26621
43.276889,-2.022194,3,150,0.013482
43.276889,-2.022194,4,150,0.000604
43.276889,-2.022194,5,150,2.3e-05
43.276889,-2.022194,6,150,1e-06
43.276889,-2.022194,7,150,0.0
43.035056,-2.2175,2,150,13.956874
43.035056,-2.2175,3,150,1.88258
43.035056,-2.2175,4,150,0.338796
43.035056,-2.2175,5,150,0.060483
43.035056,-2.2175,6,150,0.010052
43.035056,-2.2175,7,150,0.001529
43.314639,-1.876417,2,150,0.126657
43.314639,-1.876417,3,150,0.004578
43.314639,-1.876417,4,150,0.000144
43.314639,-1.876417,5,150,4e-06
43.314639,-1.876417,6,150,0.0
43.314639,-1.876417,7,150,0.0
42.941417,-2.639528,2,150,12.549435
42.941417,-2.639528,3,150,1.715925
42.941417,-2.639528,4,150,0.304043
42.941417,-2.639528,5,150,0.053081
42.941417,-2.639528,6,150,0.008602
42.941417,-2.639528,7,150,0.001274
42.635194,-2.849833,2,150,2.016686
42.635194,-2.849833,3,150,0.222236
42.635194,-2.849833,4,150,0.023888
42.635194,-2.849833,5,150,0.002318
42.635194,-2.849833,6,150,0.000201
42.635194,-2.849833,7,150,1.6e-05
43.296222,-1.871833,2,150,0.026944
43.296222,-1.871833,3,150,0.000466
43.296222,-1.871833,4,150,7e-06
43.296222,-1.871833,5,150,0.0
43.296222,-1.871833,6,150,0.0
43.296222,-1.871833,7,150,0.0
43.177167,-2.055528,2,150,1.913912
43.177167,-2.055528,3,150,0.207672
43.177167,-2.055528,4,150,0.021886
43.177167,-2.055528,5,150,0.002079
43.177167,-2.055528,6,150,0.000176
43.177167,-2.055528,7,150,1.3e-05
43.065889,-2.163667,2,150,8.459543
43.065889,-2.163667,3,150,1.181099
43.065889,-2.163667,4,150,0.194889
43.065889,-2.163667,5,150,0.030937
43.065889,-2.163667,6,150,0.004511
43.065889,-2.163667,7,150,0.000598
42.848944,-2.394583,2,150,0.032136
