lat,lon,n_chargers,mean_power_kw,aadt_assigned,highway_class,stop_rate,lambda_k
41.611973,-4.682474,2,7.0,4097.821800483972,secondary,0.05,0.6658960425786455
41.62972,-4.26251,2,22.0,8263.0,trunk,0.05,1.3427375000000001
39.47373,-0.91746,4,36.0,2920.737486065418,secondary_link,0.05,0.47461984148563047
40.844917,-3.464613,2,22.0,634.383534081949,secondary,0.05,0.10308732428831674
40.462585,0.355603,2,22.0,1807.3726854998777,secondary,0.05,0.29369806139373017
42.308956,2.171529,5,33.6,659.0,primary,0.05,0.1070875
43.37615,-4.35148,4,58.0,1682.2529366734418,primary,0.05,0.27336610220943436
41.96762,3.161718,2,22.0,5446.090832299448,primary,0.05,0.8849897602486605
42.152252,2.839095,2,22.0,654.125887055113,secondary,0.05,0.10629545664645589
41.841305,0.299917,1,50.0,825.0,secondary,0.05,0.1340625
39.40417,-0.385702,1,50.0,126138.0,motorway,0.05,20.497425000000003
39.909615,-4.010892,2,50.0,41491.0,motorway,0.05,6.742287500000001
42.844635,-1.615217,2,50.0,356.55162213921386,trunk,0.05,0.05793963859762226
43.318012,-1.871469,2,50.0,3245.454346276694,primary_link,0.05,0.5273863312699629
41.667774,0.599884,4,101.0,3456.8065472144435,secondary_link,0.05,0.5617310639223472
42.77505,-1.887656,4,7.0,4674.215162473933,primary,0.05,0.7595599639020142
42.523346,-1.363618,4,7.0,325.80648311907714,primary,0.05,0.05294355350685004
41.587654,-3.065255,2,22.0,1970.0,trunk,0.05,0.320125
39.53624,-1.43924,4,200.0,1347.491992713233,secondary,0.05,0.2189674488159004
43.37641,-2.69746,2,22.0,1611.752249925229,secondary,0.05,0.2619097406128498
41.88304,-0.78359,2,100.0,4666.378137951059,primary,0.05,0.7582864474170472
40.630894,-3.237297,2,50.0,3477.3434840534,secondary,0.05,0.5650683161586776
42.26789,-4.40586,2,7.0,489.0,trunk,0.05,0.07946250000000002
42.37128,-5.02914,2,7.0,32.11952472878545,secondary,0.05,0.005219422768427636
42.5351,-5.74775,4,7.0,16867.0,trunk,0.05,2.7408875000000004
42.168495,-8.626171,2,350.0,35877.0,motorway_link,0.05,5.830012500000001
42.8275,-4.8436,2,7.0,206.34731776285383,secondary_link,0.05,0.03353143913646375
42.55862,-1.85065,4,7.0,4161.317530290632,primary_link,0.05,0.6762140986722278
40.826176,-5.515999,4,7.0,2264.1876303355066,primary,0.05,0.3679304899295199
39.306152,-0.412575,4,22.0,19658.891032917138,primary,0.05,3.1945697928490353
39.7531,-0.995171,2,22.0,626.6769791199218,primary,0.05,0.10183500910698731
41.91219,-2.759556,2,7.0,535.7023301340439,secondary,0.05,0.08705162864678215
41.57298,-3.20117,2,7.0,1434.0,trunk,0.05,0.23302500000000004
37.24122,-6.29628,2,22.0,6667.903314391366,secondary,0.05,1.083534288588597
41.57137,-3.20108,2,7.0,1434.0,trunk,0.05,0.23302500000000004
43.30235,-3.03398,4,7.0,46446.99999999999,motorway,0.05,7.5476375
43.369793,-2.998808,2,46.5,4112.0,trunk,0.05,0.6682000000000001
39.953857,-3.997653,4,22.0,41491.0,motorway,0.05,6.742287500000001
39.53964,-0.30699,12,7.0,71532.0,motorway,0.05,11.623950000000002
42.172653,1.563814,6,22.0,1196.1237662796705,secondary,0.05,0.1943701120204465
40.226833,-3.843454,2,150.0,11360.978222421669,primary,0.05,1.8461589611435216
38.79001,0.063078,1,22.0,2560.913238532859,secondary,0.05,0.4161484012615897
38.791656,0.063435,6,74.0,16784.0,trunk,0.05,2.7274000000000003
38.862835,0.012828,3,40.666666666666664,2527.968569020365,secondary,0.05,0.41079489246580936
41.907253,2.77326,1,12.0,48425.0,motorway,0.05,7.8690625
38.534832,-0.173006,8,12.0,13718.076110658149,trunk_link,0.05,2.2291873679819494
43.43564,-5.014354,1,50.0,15962.0,motorway,0.05,2.5938250000000003
43.561874,-6.923124,1,50.0,2172.0,trunk,0.05,0.3529500000000001
43.555244,-6.167259,1,50.0,3362.0,trunk,0.05,0.5463250000000002
43.383335,-6.074988,1,7.4,2205.0,trunk,0.05,0.35831250000000003
43.568718,-6.944178,1,7.4,3326.0,trunk,0.05,0.5404750000000001
43.332462,-4.703713,1,7.4,528.9279096164506,primary,0.05,0.08595078531267324
43.352417,-5.126055,1,50.0,2323.107805612016,primary,0.05,0.3775050184119526
43.484043,-5.269754,1,7.4,4251.64223819185,trunk,0.05,0.6908918637061757
43.393642,-5.706535,1,7.4,14971.0,trunk,0.05,2.4327875000000003
43.387463,-6.072723,1,7.4,2205.0,trunk,0.05,0.35831250000000003
43.393627,-6.063614,1,43.0,2205.0,trunk,0.05,0.35831250000000003
43.308277,-5.051632,1,22.0,671.3622447592377,secondary,0.05,0.10909636477337613
43.334576,-4.968723,1,22.0,2728.1394820895916,primary,0.05,0.44332266583955865
43.455933,-3.7428,1,7.4,10587.535147691577,primary,0.05,1.7204744614998813
43.409027,-6.261033,1,7.4,486.0,secondary,0.05,0.07897500000000002
43.51522,-5.273083,1,7.4,1639.7154898175588,secondary,0.05,0.26645376709535334
43.22128,-5.455747,1,7.4,2661.5960193226515,primary,0.05,0.43250935313993094
43.53812,-7.02338,1,7.4,12210.487748916825,motorway_link,0.05,1.9842042591989841
